         58359707 function calls (56611942 primitive calls) in 280.193 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 dearpygui.py:2730(window)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
        1    0.000    0.000    0.000    0.000 Particule.py:1(<module>)
       44    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       33    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.000    0.000 {built-in method dearpygui._dearpygui.add_theme_component}
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.000    0.000 {built-in method dearpygui._dearpygui.setup_dearpygui}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 Essaim.py:1(<module>)
       72    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 Quadtree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 main.py:75(<listcomp>)
       12    0.000    0.000    0.002    0.000 typing.py:400(__getitem__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
        2    0.000    0.000    0.000    0.000 random.py:128(seed)
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        2    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       29    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
        3    0.000    0.000    0.000    0.000 typing.py:1206(__getitem__)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1334(_path_hooks)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method dearpygui._dearpygui.add_theme_color}
       17    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       32    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       32    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1607(<setcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 {built-in method dearpygui._dearpygui.set_primary_window}
        1    0.000    0.000    0.001    0.001 CerclePhysique.py:1(<module>)
       34    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       32    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method dearpygui._dearpygui.add_theme}
       16    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       12    0.000    0.000    0.000    0.000 typing.py:1126(<genexpr>)
        1    0.000    0.000    0.005    0.005 Obstacle.py:1(<module>)
        1    0.000    0.000    0.025    0.025 <frozen importlib._bootstrap_external>:1174(create_module)
        1    0.000    0.000    0.173    0.173 dearpygui.py:7311(destroy_context)
        1    0.000    0.000    0.000    0.000 main.py:77(<listcomp>)
        1    0.000    0.000    0.000    0.000 Essaim.py:6(Essaim)
        1    0.000    0.000    0.000    0.000 {built-in method dearpygui._dearpygui.create_viewport}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 Quadtree.py:6(Quadtree)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       16    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 CerclePhysique.py:13(CerclePhysique)
        1    0.000    0.000    0.001    0.001 dearpygui.py:7172(create_context)
       12    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       37    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        6    0.000    0.000    0.000    0.000 typing.py:222(_check_generic)
        1    0.000    0.000    0.000    0.000 Rectangle.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(<genexpr>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
